"verse_number","sanskrit","translation","explanation","problem_category"
"7.24","अव्यक्तं व्यक्तिमापन्नं मन्यन्ते मामबुद्धयः। परं भावमजानन्तो ममाव्ययमनुत्तमम्॥","The ignorant think of Me as having a material form, not knowing My higher, immutable, and supreme nature.","Understanding the deeper nature of reality requires transcending surface-level perceptions. Strive to see beyond appearances to grasp the eternal truth.","Deeper understanding"
"7.25","नाहं प्रकाशः सर्वस्य योगमायासमावृतः। मूढोऽयं नाभिजानाति लोको मामजमव्ययम्॥","I am not manifest to everyone, veiled by My divine energy. The deluded world does not know Me as unborn and eternal.","Divine truth is often hidden by illusions. Overcoming delusion requires self-awareness and dedication to spiritual practice.","Overcoming illusions"
"7.26","वेदाहं समतीतानि वर्तमानानि चार्जुन। भविष्याणि च भूतानि मां तु वेद न कश्चन॥","I know all beings—past, present, and future—but no one knows Me completely.","The divine comprehends all, while human understanding is limited. Embrace humility and openness in the quest for knowledge.","Humility in knowledge"
"7.27","इच्छाद्वेषसमुत्थेन द्वन्द्वमोहेन भारत। सर्वभूतानि संमोहं सर्गे यान्ति परंतप॥","By the dualities of desire and aversion, all beings are deluded at birth, O Arjuna.","Desire and aversion lead to confusion. Cultivating equanimity helps in overcoming these dualities and achieving clarity.","Emotional equanimity"
"7.28","येषां त्वन्तगतं पापं जनानां पुण्यकर्मणाम्। ते द्वन्द्वमोहनिर्मुक्ता भजन्ते मां दृढव्रताः॥","Those who have purified their sins through virtuous deeds and are freed from the delusion of dualities worship Me with determination.","Virtuous actions clear mental barriers and enable focused devotion. Align actions with virtue to progress spiritually.","Virtue and focus"
"7.29","जरामरणमोक्षाय मामाश्रित्य यतन्ति ये। ते ब्रह्म तद्विदुः कृत्स्नमध्यात्मं कर्म चाखिलम्॥","Those who strive for liberation from old age and death, taking refuge in Me, come to know Brahman, the Self, and the entirety of karma.","Seeking liberation involves understanding the eternal self and the principles of action. Dedication to self-realization leads to ultimate freedom.","Liberation and self-realization"
"7.30","साधिभूताधिदैवं मां साधियज्ञं च ये विदुः। प्रयाणकालेऽपि च मां ते विदुर्युक्तचेतसः॥","Those who know Me as the governing principle of all beings, gods, and sacrifices, even at the time of death, their consciousness remains steadfast in Me.","Understanding the divine essence provides peace even in life's ultimate transitions. Cultivate spiritual awareness to maintain clarity in all circumstances.","Spiritual awareness"
"8.1","अर्जुन उवाच। किं तद्ब्रह्म किमध्यात्मं किं कर्म पुरुषोत्तम। अधिभूतं च किं प्रोक्तमधिदैवं किमुच्यते॥","Arjuna said: What is Brahman? What is the self? What is action, O Supreme Person? What is called the material realm, and what is the divine realm?","When seeking clarity on concepts, ask direct questions. Understanding the nature of existence, self, and action helps make sense of life’s purpose.","Clarity and Inquiry"
"8.2","अधियज्ञः कथं कोऽत्र देहेऽस्मिन्मधुसूदन। प्रयाणकाले च कथं ज्ञेयोऽसि नियतात्मभिः॥","Who is the lord of sacrifice within the body, O Madhusudana? And how can those who are self-controlled know You at the time of death?","Understanding your inner self and the role of dedication can prepare you for life’s critical moments. Cultivate discipline for spiritual awareness.","Self-Discipline and Spiritual Awareness"
"8.3","श्रीभगवानुवाच। अक्षरं ब्रह्म परमं स्वभावोऽध्यात्ममुच्यते। भूतभावोद्भवकरो विसर्गः कर्मसंज्ञितः॥","The Blessed Lord said: The Supreme, indestructible entity is Brahman. The self is one’s inherent nature, and action pertains to the creation and development of beings.","Recognize your true nature and purpose. Align actions with your higher self to foster growth and fulfillment.","Self-Realization and Purpose"
"8.4","अधिभूतं क्षरो भावः पुरुषश्चाधिदैवतम्। अधियज्ञोऽहमेवात्र देहे देहभृतां वर॥","The material world is perishable, and the divine realm is the Cosmic Person. I am the Lord of Sacrifice, residing in the body, O best of embodied beings.","Acknowledge the temporary nature of the world and focus on your spiritual essence. This awareness fosters detachment and devotion.","Detachment and Devotion"
"8.5","अन्तकाले च मामेव स्मरन्मुक्त्वा कलेवरम्। यः प्रयाति स मद्भावं याति नास्त्यत्र संशयः॥","Whoever remembers Me at the time of death, leaving the body, attains My nature. Of this, there is no doubt.","Maintain a focused mind and remember your purpose during crucial times. Consistent spiritual practice leads to peace in life and beyond.","Focus and Spiritual Practice"
"8.6","यं यं वापि स्मरन्भावं त्यजत्यन्ते कलेवरम्। तं तमेवैति कौन्तेय सदा तद्भावभावितः॥","Whatever one remembers at the time of death, that state they attain, O Kaunteya, as they have been constantly absorbed in it.","Your dominant thoughts shape your destiny. Cultivate positive and meaningful thoughts to guide your life’s outcomes.","Positive Thinking and Destiny"
"8.7","तस्मात्सर्वेषु कालेषु मामनुस्मर युध्य च। मय्यर्पितमनोबुद्धिर्मामेवैष्यस्यसंशयः॥","Therefore, at all times, remember Me and fight. With your mind and intellect fixed on Me, you will certainly come to Me.","Balance your duties with spiritual mindfulness. Focused action and dedication to a higher purpose ensure success.","Mindfulness and Duty"
"8.8","अभ्यासयोगयुक्तेन चेतसा नान्यगामिना। परं पुरुषं दिव्यं याति पार्थानुचिन्तयन्॥","With a mind disciplined through yoga and focused on the Supreme Person, one attains the divine goal.","Regular practice and unwavering focus on your goal help achieve excellence. Discipline strengthens inner resolve.","Discipline and Goal Achievement"
"8.9","कविं पुराणमनुशासितारमणोरणीयांसमनुस्मरेद्यः। सर्वस्य धातारमचिन्त्यरूपमादित्यवर्णं तमसः परस्तात्॥","He who remembers the omniscient, ancient, the ruler smaller than an atom, the sustainer of all, with an inconceivable form, luminous like the sun, beyond darkness.","Remember the divine as all-knowing and guiding your path. Trust in a higher power to overcome challenges.","Faith and Guidance"
"8.10","प्रयाणकाले मनसाचलेन भक्त्या युक्तो योगबलेन चैव। भ्रुवोर्मध्ये प्राणमावेश्य सम्यक् स तं परं पुरुषमुपैति दिव्यम्॥","At the time of death, with a steady mind, devotion, and the power of yoga, focusing between the eyebrows, one attains the divine Supreme Person.","In critical moments, maintain composure and devotion. A focused mind ensures peaceful transitions.","Composure and Devotion"
"8.11","यदक्षरं वेदविदो वदन्ति विशन्ति यद्यतयो वीतरागाः। यदिच्छन्तो ब्रह्मचर्यं चरन्ति तत्ते पदं सङ्ग्रहेण प्रवक्ष्ये॥","That which the knowers of the Vedas declare as imperishable, into which the self-disciplined enter, desiring which they practice celibacy—this I shall briefly explain to you.","Focus on higher knowledge and discipline to reach your goals. Desire for ultimate truth requires sacrifice and commitment.","Discipline and Focus"
"8.12","सर्वद्वाराणि संयम्य मनो हृदि निरुध्य च। मूर्ध्न्याधायात्मनः प्राणमास्थितो योगधारणाम्॥","With all the doors of the senses restrained, the mind confined in the heart, and life energy fixed in the head, one practices yogic concentration.","Controlling your senses and focusing your energy can help maintain concentration and achieve deep meditation. Discipline leads to clarity.","Concentration and Control"
"8.13","ओमित्येकाक्षरं ब्रह्म व्याहरन्मामनुस्मरन्। यः प्रयाति त्यजन्देहं स याति परमां गतिम्॥","Chanting the one-syllabled Om, and remembering Me as they leave the body, one attains the supreme goal.","Maintain a steady mind with the power of Om and remembrance of a higher purpose. Focused devotion leads to peace and liberation.","Meditation and Devotion"
"8.14","अनन्यचेताः सततं यो मां स्मरति नित्यशः। तस्याहं सुलभः पार्थ नित्ययुक्तस्य योगिनः॥","For one who always remembers Me without deviation, I am easy to obtain, O Partha, because of their constant engagement in devotion.","Consistent dedication and devotion simplify achieving life goals. Stay focused on your purpose for ease in your journey.","Consistency and Devotion"
"8.15","मामुपेत्य पुनर्जन्म दुःखालयमशाश्वतम्। नाप्नुवन्ति महात्मानः संसिद्धिं परमां गताः॥","Having attained Me, great souls do not take birth again in this world, which is temporary and full of suffering; they attain supreme perfection.","Strive for higher aspirations to break free from recurring struggles. Ultimate success lies in transcending temporary challenges.","Freedom from Struggles"
"8.16","आ ब्रह्मभुवनाल्लोकाः पुनरावर्तिनोऽर्जुन। मामुपेत्य तु कौन्तेय पुनर्जन्म न विद्यते॥","From the highest planet in the material world down to the lowest, all are places of rebirth. But having reached Me, O Kaunteya, one does not take birth again.","Even the highest achievements in life are temporary. Focus on spiritual growth for lasting fulfillment.","Long-Term Fulfillment"
"8.17","सहस्रयुगपर्यन्तमहर्यद्ब्रह्मणो विदुः। रात्रिं युगसहस्रान्तां तेऽहोरात्रविदो जनाः॥","Those who know the cosmic day and night understand that one day of Brahma lasts a thousand cycles of four ages, and his night is of the same duration.","Understand the bigger picture and be patient. Time and effort lead to results over extended periods.","Patience and Perspective"
"8.18","अव्यक्ताद्व्यक्तयः सर्वाः प्रभवन्त्यहरागमे। रात्र्यागमे प्रलीयन्ते तत्रैवाव्यक्तसंज्ञके॥","All living beings emerge from the unmanifest state at the dawn of day, and at dusk, they merge into the unmanifest again.","Life operates in cycles. Accept changes and adapt to new beginnings with resilience.","Adaptability and Change"
"8.19","भूतग्रामः स एवायं भूत्वा भूत्वा प्रलीयते। रात्र्यागमेऽवशः पार्थ प्रभवत्यहरागमे॥","This multitude of beings repeatedly comes into existence at the arrival of day, and with nightfall, it is helplessly dissolved.","Recognize the cycles of creation and dissolution in life. Embrace each phase with balance and acceptance.","Balance and Acceptance"
"8.20","परस्तस्मात्तु भावोन्योऽव्यक्तोऽव्यक्तात्सनातनः। यः स सर्वेषु भूतेषु नश्यत्सु न विनश्यति॥","Beyond this unmanifest is another eternal unmanifest reality that does not perish even when all beings perish.","Focus on the eternal truths beyond temporary life situations. Connecting to the unchanging brings peace and stability.","Stability and Eternal Truth"
"8.21","अव्यक्तोऽक्षर इत्युक्तस्तमाहुः परमां गतिम्। यं प्राप्य न निवर्तन्ते तद्धाम परमं मम॥","The unmanifest and imperishable is called the ultimate goal. Those who attain it never return; that is My supreme abode.","Pursue goals that provide lasting fulfillment. Focus on self-improvement and achieving higher objectives for long-term success.","Goal Setting and Fulfillment"
"8.22","पुरुषः स परः पार्थ भक्त्या लभ्यस्त्वनन्यया। यस्यान्तःस्थितानि भूतानि येन सर्वमिदं ततम्॥","That supreme person can be attained by exclusive devotion, O Partha, within whom all beings exist and by whom all this is pervaded.","Cultivate devotion and focus on the greater purpose of life. Exclusive commitment leads to achieving the highest potential.","Devotion and Commitment"
"8.23","यत्र काले त्वनावृत्तिमावृत्तिं चैव योगिनः। प्रयाता यान्ति तं कालं वक्ष्यामि भरतर्षभ॥","I will now explain the time at which, departing, yogis do not return and the time at which they return.","Understand the importance of timing and take actions at the right moment to achieve desired outcomes.","Timing and Decision-Making"
"8.24","अग्निर्ज्योतिरहः शुक्लः षण्मासा उत्तरायणम्। तत्र प्रयाता गच्छन्ति ब्रह्म ब्रह्मविदो जनाः॥","Fire, light, day, the bright fortnight, and the six months of the northern solstice—departing by this path, the knowers of Brahman attain Brahman.","Align your efforts with favorable conditions for success. Take advantage of opportunities when circumstances are favorable.","Opportunity and Strategy"
"8.25","धूमो रात्रिस्तथा कृष्णः षण्मासा दक्षिणायनम्। तत्र चान्द्रमसं ज्योतिर्योगी प्राप्य निवर्तते॥","Smoke, night, the dark fortnight, and the six months of the southern solstice—taking this path, the yogi attains the lunar light and returns.","Understand that some paths lead to temporary success. Aim for lasting achievements by choosing the right direction.","Path Selection and Direction"
"8.26","शुक्लकृष्णे गती ह्येते जगतः शाश्वते मते। एकया यात्यनावृत्तिमन्ययावर्तते पुनः॥","These two paths of the world, the bright and the dark, are considered eternal. By one, one attains liberation; by the other, one returns.","Life offers different paths—some leading to liberation and some to repetition of efforts. Choose wisely to avoid repetitive cycles.","Choice and Consequences"
"8.27","नैते सृती पार्थ जानन्योगी मुह्यति कश्चन। तस्मात्सर्वेषु कालेषु योगयुक्तो भवार्जुन॥","Knowing these paths, a yogi is never deluded. Therefore, always remain steadfast in yoga, O Arjuna.","Knowledge eliminates confusion. Stay aware and connected to your purpose to avoid distractions.","Awareness and Clarity"
"8.28","वेदेषु यज्ञेषु तपःसु चैव। दानेषु यत्पुण्यफलं प्रदिष्टम्। अत्येति तत्सर्वमिदं विदित्वा। योगी परं स्थानमुपैति चाद्यम्॥","Knowing all this, the yogi transcends the rewards of Vedic study, sacrifices, austerities, and charity, and attains the supreme, eternal abode.","True knowledge surpasses all external achievements. Focus on inner growth and wisdom for ultimate success.","Inner Growth and Wisdom"
"9.1","इदं तु ते गुह्यतमं प्रवक्ष्याम्यनसूयवे। ज्ञानं विज्ञानसहितं यज्ज्ञात्वा मोक्ष्यसेऽशुभात्॥","I shall now impart to you the most confidential knowledge, along with wisdom, which will free you from all misfortune.","Seek both knowledge and experiential wisdom to overcome challenges and achieve freedom from distress. Applying knowledge practically leads to true liberation.","Knowledge and Wisdom"
"9.2","राजविद्या राजगुह्यं पवित्रमिदमुत्तमम्। प्रत्यक्षावगमं धर्म्यं सुसुखं कर्तुमव्ययम्॥","This is the king of knowledge and the king of secrets, the purest knowledge. It gives direct perception of the self, is in accordance with dharma, easy to practice, and everlasting.","Pursue knowledge that aligns with your values, is practical, and provides lasting benefits. Focus on learning that brings clarity and ease in life.","Learning and Practicality"
"9.3","अश्रद्दधानाः पुरुषा धर्मस्यास्य परंतप। अप्राप्य मां निवर्तन्ते मृत्युसंसारवर्त्मनि॥","Those who lack faith in this dharma do not attain Me and return to the cycle of birth and death.","Faith and conviction are crucial for success. Without belief in one's path, progress becomes difficult, leading to repeated struggles.","Faith and Conviction"
"9.4","मया ततमिदं सर्वं जगदव्यक्तमूर्तिना। मत्स्थानि सर्वभूतानि न चाहं तेष्ववस्थितः॥","By Me, in My unmanifest form, this entire universe is pervaded. All beings are in Me, but I am not in them.","Understand that while external conditions affect you, your true self remains unattached. Focus on your inner strength to overcome external challenges.","Detachment and Inner Strength"
"9.5","न च मत्स्थानि भूतानि पश्य मे योगमैश्वरम्। भूतभृन्न च भूतस्थो ममात्मा भूतभावनः॥","Behold My divine yoga! Although I am the sustainer of all beings, I am not in them, and My Self creates and nurtures all beings.","Embrace a balanced life where you support others without being overwhelmed by their burdens. Balance self-care with responsibilities.","Balance and Self-Care"
"9.6","यथाकाशस्थितो नित्यं वायुः सर्वत्रगो महान्। तथा सर्वाणि भूतानि मत्स्थानीत्युपधारय॥","Just as the mighty wind, moving everywhere, rests always in the sky, so do all beings rest in Me.","Like the wind, which moves freely yet stays connected to its source, stay flexible in life but grounded in your values and purpose.","Flexibility and Grounding"
"9.7","सर्वभूतानि कौन्तेय प्रकृतिं यान्ति मामिकाम्। कल्पक्षये पुनस्तानि कल्पादौ विसृजाम्यहम्॥","All beings enter My nature at the end of a cycle, and I send them forth again at the beginning of the next cycle.","Life moves in cycles. Embrace change and new beginnings as opportunities for growth and renewal.","Adaptability and Renewal"
"9.8","प्रकृतिं स्वामवष्टभ्य विसृजामि पुनः पुनः। भूतग्राममिमं कृत्स्नमवशं प्रकृतेर्वशात्॥","Taking control of My nature, I create again and again all living beings, who are helplessly controlled by nature.","Accept that some things are beyond control. Focus on what you can influence and let go of what you cannot change.","Control and Acceptance"
"9.9","न च मां तानि कर्माणि निबध्नन्ति धनञ्जय। उदासीनवदासीनमसक्तं तेषु कर्मसु॥","These actions do not bind Me, O Dhananjaya, as I remain detached and indifferent to their outcomes.","Perform your duties without attachment to the results. Detachment helps in maintaining peace and focus.","Duty and Detachment"
"9.10","मयाध्यक्षेण प्रकृतिः सूयते सचराचरम्। हेतुनानेन कौन्तेय जगद्विपरिवर्तते॥","Under My supervision, nature produces all moving and non-moving beings, and thus the world evolves.","Recognize the higher forces at play in life. Trust the process and work in harmony with it.","Trust and Process"
"9.11","अवजानन्ति मां मूढा मानुषीं तनुमाश्रितम्। परं भावमजानन्तो मम भूतमहेश्वरम्॥","Fools deride Me when I appear in a human form, not knowing My higher nature as the Supreme Lord of all beings.","Do not judge others based on appearances. True greatness often lies beyond what is visible.","Judgment and Perception"
"9.12","मोहाशा मोघकर्माणो मोघज्ञाना विचेतसः। राक्षसीमासुरीं चैव प्रकृतिं मोहिनीं श्रिताः॥","Those whose hopes, actions, and knowledge are futile, who are devoid of wisdom, are possessed by a deluding, demoniac nature.","Negative thinking and ignorance lead to failure and delusion. Cultivate positive thoughts and wisdom to achieve meaningful results.","Positive Thinking and Wisdom"
"9.13","महात्मानस्तु मां पार्थ दैवीं प्रकृतिमाश्रिताः। भजन्त्यनन्यमनसो ज्ञात्वा भूतादिमव्ययम्॥","The great souls, taking shelter of divine nature, worship Me with undivided attention, knowing Me as the eternal source of all beings.","Focus on higher goals with unwavering dedication. Align your actions with your true purpose to find fulfillment.","Focus and Purpose"
"9.14","सततं कीर्तयन्तो मां यतन्यश्च दृढव्रताः। नमस्यन्तश्च मां भक्त्या नित्ययुक्ता उपासते॥","Always glorifying Me, striving with firm vows, and bowing with devotion, they worship Me constantly, ever united with Me.","Consistency and devotion in your efforts bring success. Stay committed to your goals and honor the process.","Consistency and Devotion"
"9.15","ज्ञानयज्ञेन चाप्यन्ये यजन्तो मामुपासते। एकत्वेन पृथक्त्वेन बहुधा विश्वतोमुखम्॥","Others worship Me through the sacrifice of knowledge, seeing Me as one or as many, in diverse forms everywhere.","Knowledge can be applied in multiple ways. Be open to different perspectives to solve problems creatively.","Knowledge and Creativity"
"9.16","अहं क्रतुरहं यज्ञः स्वधाहमहमौषधम्। मन्त्रोहमहमेवाज्यमहमग्निरहं हुतम्॥","I am the ritual, the sacrifice, the offering to ancestors, the healing herb, the mantra, the clarified butter, the fire, and the offering itself.","Recognize that everything is interconnected. Approach tasks holistically to achieve balance and harmony.","Holistic Approach"
"9.17","पिताहमस्य जगतो माता धाता पितामहः। वेद्यं पवित्रमोंकार ऋक्साम यजुरेव च॥","I am the father, mother, sustainer, and grandfather of this universe. I am the purifier, the sacred syllable Om, and the Vedas—Rig, Sama, and Yajur.","Acknowledge multiple sources of support in your life. Draw strength from family, tradition, and knowledge.","Support and Tradition"
"9.18","गतिरभर्ता प्रभुः साक्षी निवासः शरणं सुहृत्। प्रभवः प्रलयः स्थानं निधानं बीजमव्ययम्॥","I am the goal, the sustainer, the Lord, the witness, the abode, the refuge, the well-wisher, the origin, dissolution, foundation, and eternal seed.","In times of uncertainty, find refuge in a stable source, whether it be your values, a mentor, or a spiritual guide.","Stability and Guidance"
"9.19","तपाम्यहमहं वर्षं निगृह्णाम्युत्सृजामि च। अमृतं चैव मृत्युश्च सदसच्चाहमर्जुन॥","I give heat, I withhold and send forth rain; I am immortality and death, and also the manifest and the unmanifest, O Arjuna.","Life is a balance of opposites. Embrace both success and failure as part of the journey.","Balance and Acceptance"
"9.20","त्रैविद्या मां सोमपा पूतपापा यज्ञैरिष्ट्वा स्वर्गतिं प्रार्थयन्ते। ते पुण्यमासाद्य सुरेन्द्रलोकं अश्नन्ति दिव्यान्दिवि देवभोगान्॥","Those who study the Vedas and drink the soma juice, purified of sin, worship Me through sacrifices and seek heaven. They enjoy the celestial pleasures of the gods in heaven.","Short-term pleasures are temporary. Focus on lasting fulfillment through meaningful actions.","Long-term Fulfillment"
"9.21","ते तं भुक्त्वा स्वर्गलोकं विशालं क्षीणे पुण्ये मर्त्यलोकं विशन्ति। एवं त्रयीधर्ममनुप्रपन्ना गतागतं कामकामा लभन्ते॥","After enjoying the vast heaven, when their merits are exhausted, they return to the mortal world. Thus, those who follow the path of desire keep coming and going.","Chasing desires leads to a cycle of highs and lows. Seek contentment beyond temporary pleasures.","Contentment and Cycles"
"9.22","अनन्याश्चिन्तयन्तो मां ये जनाः पर्युपासते। तेषां नित्याभियुक्तानां योगक्षेमं वहाम्यहम्॥","Those who worship Me with unwavering devotion, constantly thinking of Me, I carry what they lack and preserve what they have.","Trust that sincere efforts will be supported. Stay focused on your goals, and the necessary resources will follow.","Trust and Support"
"9.23","येऽप्यन्यदेवताभक्ता यजन्ते श्रद्धयान्विताः। तेऽपि मामेव कौन्तेय यजन्त्यविधिपूर्वकम्॥","Even those who worship other gods with faith actually worship Me alone, O Kaunteya, though not in the prescribed way.","When efforts are misdirected, the results may be limited. Focus on the correct path for optimal success, aligning your actions with core goals.","Correct Focus and Alignment"
"9.24","अहं हि सर्वयज्ञानां भोक्ता च प्रभुरेव च। न तु मामभिजानन्ति तत्त्वेनातश्च्यवन्ति ते॥","I am the only enjoyer and Lord of all sacrifices, yet they do not recognize Me in truth and thus fall.","Understanding the true purpose behind actions prevents failure. Seek clarity in your goals and their significance to avoid setbacks.","Clarity and Purpose"
"9.25","यान्ति देवव्रता देवान् पितॄन्यान्ति पितृव्रताः। भूतानि यान्ति भूतेज्या यान्ति मद्याजिनोऽपि माम्॥","Those who worship the gods go to the gods; those who worship ancestors go to them; those who worship spirits go to the spirits; but those who worship Me come to Me.","You achieve what you focus on. Direct your efforts toward higher, meaningful objectives to reach your desired destination.","Goal Setting and Focus"
"9.26","पत्रं पुष्पं फलं तोयं यो मे भक्त्या प्रयच्छति। तदहं भक्त्युपहृतमश्नामि प्रयतात्मनः॥","Whoever offers Me with devotion a leaf, a flower, a fruit, or water, I accept that pious offering of the pure-hearted.","Sincere effort, no matter how small, is valuable. Offer your best with devotion, and it will be accepted and rewarded.","Sincerity and Effort"
"9.27","यत्करोषि यदश्नासि यज्जुहोषि ददासि यत्। यत्तपस्यसि कौन्तेय तत्कुरुष्व मदर्पणम्॥","Whatever you do, eat, offer, or give away, and whatever austerities you perform, do that as an offering to Me.","Dedicate all your actions to a higher purpose. This mindset transforms ordinary tasks into meaningful contributions.","Dedication and Purpose"
"9.28","शुभाशुभफलैरेवं मोक्ष्यसे कर्मबन्धनैः। संन्यासयोगयुक्तात्मा विमुक्तो मामुपैष्यसि॥","By dedicating your actions, you will be freed from good and bad results and attain liberation.","Let go of attachment to outcomes. Focus on sincere efforts, and freedom from stress will follow.","Detachment and Liberation"
"9.29","समोऽहं सर्वभूतेषु न मे द्वेष्योऽस्ति न प्रियः। ये भजन्ति तु मां भक्त्या मयि ते तेषु चाप्यहम्॥","I am equal to all beings; I have no one I dislike or favor. But those who worship Me with devotion are in Me, and I am in them.","Treat everyone equally and fairly. Building relationships based on respect and devotion leads to mutual support.","Fairness and Relationships"
"9.30","अपि चेत्सुदुराचारो भजते मामनन्यभाक्। साधुरेव स मन्तव्यः सम्यग्व्यवसितो हि सः॥","Even if a person of poor conduct worships Me with unwavering devotion, they should be considered righteous, for they are properly resolved.","Past mistakes do not define you. Consistent devotion and right intent can lead to transformation and redemption.","Redemption and Transformation"
"9.31","क्षिप्रं भवति धर्मात्मा शश्वच्छान्तिं निगच्छति। कौन्तेय प्रतिजानीहि न मे भक्तः प्रणश्यति॥","They quickly become righteous and attain lasting peace. Declare boldly, O Kaunteya, that My devotee never perishes.","Trust in the process of self-improvement. Perseverance in devotion and right action leads to peace and success.","Self-Improvement and Success"
"9.32","मां हि पार्थ व्यपाश्रित्य येऽपि स्यु: पापयोनयः। स्त्रियो वैश्यास्तथा शूद्रास्तेऽपि यान्ति परां गतिम्॥","Even those of low birth, women, Vaishyas, and Shudras can attain the supreme goal by taking refuge in Me.","Everyone has equal potential for greatness, regardless of their background. Seek refuge in your strengths and strive for excellence.","Equality and Potential"
"9.33","किं पुनर्ब्राह्मणाः पुण्या भक्ता राजर्षयस्तथा। अनित्यमसुखं लोकं इमं प्राप्य भजस्व माम्॥","How much more, then, righteous Brahmanas and devout royal sages! Having come to this temporary, joyless world, worship Me.","Recognize the transient nature of life. Focus on what truly matters and dedicate yourself to higher pursuits.","Prioritization and Spiritual Growth"
"9.34","मन्मना भव मद्भक्तो मद्याजी मां नमस्कुरु। मामेवैष्यसि युक्त्वैवमात्मानं मत्परायणः॥","Fix your mind on Me, be devoted to Me, sacrifice for Me, and bow to Me. Thus, you will come to Me, having your self-disciplined and devoted to Me.","Focus your thoughts and actions on a single goal. Devotion and discipline lead to ultimate success.","Focus and Discipline"
"10.1","श्रीभगवानुवाच। भूय एव महाबाहो शृणु मे परमं वचः। यत्तेऽहं प्रीयमाणाय वक्ष्यामि हितकाम्यया॥","The Blessed Lord said: Listen again, O mighty-armed Arjuna, to My supreme words, which I speak for your benefit, as you are dear to Me.","Guidance from a trusted source can provide clarity and direction. Seek advice from those who genuinely care for your well-being.","Seeking Guidance"
"10.2","न मे विदुः सुरगणाः प्रभवं न महर्षयः। अहमादिर्हि देवानां महर्षीणां च सर्वशः॥","Neither the gods nor the great sages know My origin, for I am the source of all gods and sages.","Understanding the root cause of situations is crucial. Explore deeper to identify the true source of challenges and solutions.","Root Cause Analysis"
"10.3","यो मामजमनादिं च वेत्ति लोकमहेश्वरम्। असंमूढः स मर्त्येषु सर्वपापैः प्रमुच्यते॥","One who knows Me as unborn, without beginning, and the supreme lord of all worlds is undeluded and freed from all sins.","Clarity of understanding leads to freedom from confusion and mistakes. Gain knowledge to navigate life with confidence.","Clarity and Knowledge"
"10.4","बुद्धिर्ज्ञानमसंमोहः क्षमा सत्यं दमः शमः। सुखं दुःखं भवोऽभावो भयं चाभयमेव च॥","Intelligence, knowledge, freedom from delusion, forgiveness, truthfulness, self-control, tranquility, happiness, pain, birth, death, fear, and fearlessness.","Cultivate qualities such as patience, truth, and self-control to handle life's ups and downs effectively.","Personal Development"
"10.5","अहिंसा समता तुष्टिः तपो दानं यशोऽयशः। भवन्ति भावा भूतानां मत्त एव पृथग्विधाः॥","Non-violence, equanimity, contentment, austerity, charity, fame, and infamy—all these diverse qualities arise from Me.","Embrace virtues like non-violence and contentment to lead a balanced life. Accept both praise and criticism with grace.","Emotional Balance"
"10.6","महर्षयः सप्त पूर्वे चत्वारो मनवस्तथा। मद्भावा मानसा जाता येषां लोक इमाः प्रजाः॥","The seven great sages and the four Manus, born from My mind, originated from Me, and from them all creatures in the world have descended.","Understanding the origins of systems and processes helps in better management. Learn the history to appreciate the present.","System Understanding"
"10.7","एतां विभूतिं योगं च मम यो वेत्ति तत्त्वतः। सोऽविकम्पेन योगेन युज्यते नात्र संशयः॥","One who truly understands My divine glories and mystic power is undoubtedly established in unshakable yoga.","Recognizing strengths and capabilities fosters confidence and stability. Focus on your unique attributes to stay grounded.","Confidence Building"
"10.8","अहं सर्वस्य प्रभवो मत्तः सर्वं प्रवर्तते। इति मत्वा भजन्ते मां बुधा भावसमन्विताः॥","I am the origin of all creation; everything proceeds from Me. Knowing this, the wise worship Me with devotion.","Acknowledge the source of your resources and opportunities. Gratitude and devotion enhance focus and success.","Gratitude and Devotion"
"10.9","मच्चित्ताः मद्गतप्राणाः बोधयन्तः परस्परम्। कथयन्तश्च मां नित्यं तुष्यन्ति च रमन्ति च॥","With their minds fixed on Me and their lives surrendered to Me, My devotees enlighten each other and feel immense satisfaction and joy.","Supportive communities foster growth and happiness. Engage in meaningful conversations to inspire and uplift one another.","Community and Support"
"10.10","तेषां सततयुक्तानां भजतां प्रीतिपूर्वकम्। ददामि बुद्धियोगं तं येन मामुपयान्ति ते॥","To those who are always devoted and worship Me with love, I give the understanding by which they can come to Me.","Consistent effort and dedication lead to deeper insights. Stay committed to your goals for lasting success.","Commitment and Insight"
"10.11","तेषामेवानुकम्पार्थमहमज्ञानजं तमः। नाशयाम्यात्मभावस्थो ज्ञानदीपेन भास्वता॥","Out of compassion for them, I, dwelling within their hearts, destroy the darkness born of ignorance with the shining lamp of knowledge.","When facing confusion or lack of clarity, seek knowledge and inner guidance. The light of wisdom can dispel ignorance and illuminate the path forward.","Overcoming Ignorance"
"10.12","अर्जुन उवाच। परं ब्रह्म परं धाम पवित्रं परमं भवान्। पुरुषं शाश्वतं दिव्यमादिदेवमजं विभुम्॥","Arjuna said: You are the Supreme Brahman, the supreme abode, the ultimate purifier, the eternal divine person, the primal God, unborn and all-pervading.","Recognizing higher principles and values brings stability and clarity. Align with these principles to maintain focus and purity in actions.","Value Alignment"
